Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Whit Merrifield,KC,2B,31,60,248,38,70,12,0,9,30,12,3,12,33,0,1,4,.282,.325,.440,.765
Jose Abreu,CWS,1B,33,60,240,43,76,15,0,19,60,0,0,18,59,0,1,3,.317,.370,.617,.987
Dansby Swanson,ATL,SS,26,60,237,49,65,15,0,10,35,5,0,22,71,0,1,4,.274,.345,.464,.809
Francisco Lindor,CLE,SS,26,60,236,30,61,13,0,8,27,6,2,24,41,0,2,4,.258,.335,.415,.750
Trevor Story,COL,SS,27,59,235,41,68,13,4,11,28,15,3,24,63,0,0,0,.289,.355,.519,.874
Cesar Hernandez,CLE,2B,30,58,233,35,66,20,0,3,20,0,0,24,57,1,0,2,.283,.355,.408,.763
Trea Turner,WAS,SS,27,59,233,46,78,15,4,12,41,12,4,22,36,0,2,2,.335,.394,.588,.982
Rafael Devers,BOS,3B,23,57,232,32,61,16,1,11,43,0,0,13,67,0,0,3,.263,.310,.483,.793
Marcell Ozuna,ATL,OF,29,60,228,38,77,14,0,18,56,0,0,38,60,0,1,0,.338,.431,.636,1.067
Manny Machado,SD,SS,28,60,224,44,68,12,1,16,47,6,3,26,37,0,4,0,.304,.370,.580,.950
Fernando Tatis,SD,SS,21,59,224,50,62,11,2,17,45,11,3,27,61,0,1,5,.277,.366,.571,.937
Maikel Franco,KC,3B,28,60,223,23,62,16,0,8,38,1,0,16,38,0,4,0,.278,.321,.457,.778
Javier Baez,CHC,SS,27,59,222,27,45,9,1,8,24,3,0,7,75,0,2,4,.203,.238,.360,.598
Charlie Blackmon,COL,OF,34,59,221,31,67,12,1,6,42,2,1,19,44,0,5,2,.303,.356,.448,.804
Vladimir Guerrero,TOR,3B,21,60,221,34,58,13,2,9,33,1,0,20,38,0,0,2,.262,.329,.462,.791
Cavan Biggio,TOR,2B,25,59,220,41,55,16,0,8,28,6,0,41,61,0,0,3,.250,.375,.432,.807
Jose Ramirez,CLE,3B,28,58,219,45,64,16,1,17,46,10,3,31,43,0,1,3,.292,.386,.607,.993
Adalberto Mondesi,KC,SS,25,59,219,33,56,11,3,6,22,24,8,11,70,2,0,1,.256,.294,.416,.710
Mookie Betts,LAD,OF,28,55,219,47,64,9,1,16,39,10,2,24,38,0,1,2,.292,.366,.562,.928
Hanser Alberto,BAL,2B,27,54,219,35,62,15,0,3,22,3,0,5,30,2,2,3,.283,.306,.393,.699
Nick Castellanos,CIN,OF,28,60,218,37,49,11,2,14,34,0,2,19,69,0,1,4,.225,.298,.486,.784
Christian Walker,ARI,1B,29,57,218,35,59,18,1,7,34,1,1,19,50,0,3,3,.271,.333,.459,.792
Andrew McCutchen,PHI,OF,34,57,217,32,55,9,0,10,34,4,0,22,48,0,1,1,.253,.324,.433,.757
Keston Hiura,MIL,2B,24,59,217,30,46,4,0,13,32,3,2,16,85,0,2,11,.212,.297,.410,.707
Randal Grichuk,TOR,OF,29,55,216,38,59,9,0,12,35,1,1,13,49,0,2,0,.273,.312,.481,.793
Didi Gregorius,PHI,SS,30,60,215,34,61,10,2,10,40,3,2,15,28,1,2,4,.284,.339,.488,.827
Trent Grisham,SD,OF,23,59,215,42,54,8,3,10,26,10,1,31,64,1,1,3,.251,.352,.456,.808
Freddie Freeman,ATL,1B,31,60,214,51,73,23,1,13,53,2,0,45,37,0,0,3,.341,.462,.640,1.102
Luke Voit,NYY,1B,29,56,213,41,59,5,0,22,52,0,0,17,54,0,1,3,.277,.338,.610,.948
Eloy Jimenez,CWS,OF,23,55,213,26,63,14,0,14,41,0,0,12,56,0,1,0,.296,.332,.559,.891
Cody Bellinger,LAD,1B,25,56,213,33,51,10,0,12,30,6,1,30,42,0,0,0,.239,.333,.455,.788
Corey Seager,LAD,SS,26,52,212,38,65,12,1,15,41,1,0,17,37,0,2,1,.307,.358,.585,.943
Franmil Reyes,CLE,OF,25,59,211,27,58,10,0,9,34,0,0,24,69,0,5,1,.275,.344,.450,.794
Yuli Gurriel,HOU,1B,36,57,211,27,49,12,1,6,22,0,1,12,27,0,5,2,.232,.274,.384,.658
Isiah Kiner-Falefa,TEX,C,25,58,211,28,59,4,3,3,10,8,5,14,32,0,1,2,.280,.329,.370,.699
J.D. Martinez,BOS,OF,33,54,211,22,45,16,0,7,27,1,0,22,59,0,2,2,.213,.291,.389,.680
Marcus Semien,OAK,SS,30,53,211,28,47,9,1,7,23,4,0,25,50,0,0,0,.223,.305,.374,.679
Eddie Rosario,MIN,OF,29,57,210,31,54,7,0,13,42,3,1,19,34,0,2,0,.257,.316,.476,.792
Matt Olson,OAK,1B,26,60,210,28,41,4,1,14,42,1,0,34,77,0,0,1,.195,.310,.424,.734
Adam Frazier,PIT,2B,28,58,209,22,48,7,0,7,23,1,3,17,35,1,0,3,.230,.297,.364,.661
Nick Solak,TEX,DH,25,58,209,27,56,10,0,2,23,7,1,18,42,0,4,2,.268,.326,.344,.670
Kyle Tucker,HOU,OF,23,58,209,33,56,12,6,9,42,8,1,18,46,0,1,0,.268,.325,.512,.837
Jorge Polanco,MIN,SS,27,55,209,22,54,8,0,4,19,4,2,13,35,2,1,1,.258,.304,.354,.658
Pete Alonso,NYM,1B,25,57,208,31,48,6,0,16,35,1,0,24,61,0,1,6,.231,.326,.490,.816
David Fletcher,LAA,2B,26,49,207,31,66,13,0,3,18,2,1,20,25,1,2,0,.319,.376,.425,.801
Kyle Lewis,SEA,OF,25,58,206,37,54,3,0,11,28,5,1,34,71,0,2,0,.262,.364,.437,.801
Carlos Santana,CLE,1B,34,60,206,34,41,7,0,8,30,0,0,47,43,0,1,1,.199,.349,.350,.699
Miguel Cabrera,DET,1B,37,57,204,28,51,4,0,10,35,1,0,24,51,0,2,1,.250,.329,.417,.746
Tommy Edman,STL,2B,25,55,204,29,51,7,1,5,26,2,4,16,48,0,2,5,.250,.317,.368,.685
J.P. Crawford,SEA,SS,25,53,204,33,52,7,2,2,24,6,3,23,39,0,2,3,.255,.336,.338,.674
Anthony Rizzo,CHC,1B,31,58,203,26,45,6,0,11,24,3,1,28,38,0,2,10,.222,.342,.414,.756
Kyle Seager,SEA,3B,32,60,203,35,49,12,0,9,40,5,0,32,33,0,6,7,.241,.355,.433,.788
Max Muncy,LAD,2B,30,58,203,36,39,4,0,12,27,1,0,39,60,0,2,4,.192,.331,.389,.720
Michael Conforto,NYM,OF,27,54,202,40,65,12,0,9,31,3,3,24,57,0,0,7,.322,.412,.515,.927
Brian Anderson,MIA,3B,27,59,200,27,51,7,1,11,38,0,0,22,66,0,1,6,.255,.345,.465,.810
Yoan Moncada,CWS,3B,25,52,200,28,45,8,3,6,24,0,0,28,72,0,2,1,.225,.320,.385,.705
Christian Yelich,MIL,OF,28,58,200,39,41,7,1,12,22,4,2,46,76,0,0,1,.205,.356,.430,.786
Mike Trout,LAA,OF,29,53,199,41,56,9,2,17,46,1,1,35,56,0,4,3,.281,.390,.603,.993
Eugenio Suarez,CIN,3B,29,57,198,29,40,8,0,15,38,2,0,30,67,0,1,2,.202,.312,.470,.782
Ian Happ,CHC,OF,26,57,198,27,51,11,1,12,28,1,3,30,63,1,0,2,.258,.361,.505,.866
Joey Gallo,TEX,OF,26,57,193,23,35,8,0,10,26,2,0,29,79,0,0,4,.181,.301,.378,.679
Mike Yastrzemski,SF,OF,30,54,192,39,57,14,4,10,35,2,1,30,55,0,0,3,.297,.400,.568,.968
Paul Goldschmidt,STL,1B,33,58,191,31,58,13,0,6,21,1,0,37,43,0,1,1,.304,.417,.466,.883
Mark Canha,OAK,OF,31,59,191,32,47,12,2,5,33,4,0,37,54,0,5,10,.246,.387,.408,.795
Bryce Harper,PHI,OF,27,58,190,41,51,9,2,13,33,8,2,49,43,1,2,2,.268,.420,.542,.962
J.D. Davis,NYM,3B,27,56,190,26,47,9,0,6,19,0,0,31,56,0,1,7,.247,.371,.389,.760
Anthony Rendon,LAA,3B,30,52,189,29,54,11,1,9,31,0,0,38,31,0,0,5,.286,.418,.497,.915
Brandon Nimmo,NYM,OF,27,55,186,33,52,8,3,8,18,1,2,33,43,0,0,6,.280,.404,.484,.888